CAMPAÑA,ON/OFF,TIPO DE CAMPAÑA,UBIC,INVERSIÓN POR CAMPAÑA,TOTAL DE LOTES VENDIDOS,CPA x CAMPAÑA,FEBRERO,,,,,,,,
KAREN GUARDO,9,0,0,0,0,0,0,0,0,0,0,9,,,
ASHLEY CANTILLO,10,0,0,0,0,0,0,0,0,0,0,10,,,
VALERIA FLOREZ ,11,0,0,0,0,0,0,0,0,0,0,11,,,
,,,,,,,,,,,,,,,DICIEMBRE
,,,,,,,,,,,,,,,
,ASESORES ,,,,,,,,,,,,,,
ASESORES,ENERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL,,,
DANIELA PERALTA,"100,0%",,,,,,,,,,,,,,
KAREN LAMBIS,"130,0%",,,,,,,,,,,,,,
KEVIN DIAZ,"80,0%",,,,,,,,,,,,,,
KAREN GUARDO,"90,0%",,,,,,,,,,,,,,
ASHLEY CANTILLO,"100,0%",,,,,,,,,,,,,,
VALERIA FLOREZ,"110,0%",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,LEADS,,,,,,,,,,,,,,
ITEM,ENERO,FEBRERO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,,
LEADS META,2.456,,,,,,,,,,,,,,
LEADS TIKTOK,483,,,,,,,,,,,,,,
LEADS GOOGLE,362,,,,,,,,,,,,,,
LEADS TOTAL,3.301,,,,,,,,,,,,,,
COSTO POR LEAD,$3.832,,,,,,,,,,,,,,
CPA,"$301.199,57",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FUNNEL,ENERO,FEBRERO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,OCTUBRE,NOVIEMBRE,,DICIEMBRE
LEADS TOTALES,3.301,,,,,,,,,,,,,,
LEADS CP,2.960,,,,,,,,,,,,,,
LEADS MENSAJES,341,,,,,,,,,,,,,,
CONTACTOS UNICOS,5.895,"32,75",,,,,,,,,,,,,
LLAMADAS HECHAS,9.374,,,,,,,,,,,,,,
LLAMADAS CONTESTADAS,5.119,,,,,,,,,,,,,,
VISITA AGENDADA,293,,,,,,,,,,,,,,
VISITA CUMPLIDA,39,,,,,,,,,,,,,,
CIERRE X CAMPAÑA,42,,,,,,,,,,,,,,
Porcentaje de cierre,"14,33%",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,TIEMPO PARA CERRAR UNA VENTA EN DIAS,,,,,,,,,,,,,,
FUENTE,ENERO,FEBRERO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,,,
META,8,,,,,,,,,,,,,,
GOOGLE ADS,7,,,,,,,,,,,,,,
TIKTOK,18,,,,,,,,,,,,,,
,"10,58",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,EVENTOS,,,,,,,,,,,,,,
FECHA,ENERO,FEBRERO,ABRIL,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,,,,
NUMERO DE REGISTRADOS,213,,,,,,,,,,,,,,
ASISTENCIA DE LOS REGISTRADOS,21,,,,,,,,,,,,,,
CANTIDAD DE POSIBLES COMPRADORES,70,,,,,,,,,,,,,,
Cierres,32,,,,,,,,,,,,,,
Porcentaje de cierre,"45,71%",,,,,,,,,,,,,,
Cierre del evento vs mes,"32,99%",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,,,,
,,,,,% POSIBLES COMPRADORES vs inscritos,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
,,,,,CIERRES vs Clientes potenciales,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,
